  Velocity data for Jupiter's Great Red Spot.  The data correspond to
  Figure 2 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  Data have been combined from both Voyager 1 and Voyager 2.
  The zero of longitude corresponds to System III on 5 July 1979.

     wlon     glat    u(m/s)    v(m/s)
    106.02   -22.01   -12.65     4.88
    107.46   -23.10    -1.71     3.10
    107.33   -23.56    -0.31     5.29
    107.96   -23.54    -5.68     0.57
    108.20   -23.56    -7.54     1.76
    106.99   -24.16    -0.50     2.05
    107.24   -24.13    -4.50     1.58
    104.68   -23.74     0.58    -4.40
    107.79   -23.97    -8.50     4.94
    108.24   -24.01    -4.89     0.96
    108.36   -24.25     3.49     1.04
    110.32   -25.26    39.07     2.61
    110.67   -25.13    34.79    -0.10
    108.43   -25.17    22.85     6.15
    109.01   -25.85    73.81     0.03
    109.21   -25.76    73.17     1.92
    110.55   -26.15    36.89     3.67
    109.95   -24.05    -6.78     3.75
    109.62   -23.93     0.86     3.47
    107.17   -21.46     8.22     1.68
    106.24   -21.44     4.71     3.67
    107.56   -21.85    14.11     3.97
    107.29   -22.02    10.44    -4.07
    108.52   -22.84    -1.87    -4.16
    108.50   -21.59    -0.61     5.88
    108.43   -21.85     4.17     5.22
    109.00   -21.26    -7.01     0.56
    110.05   -21.94    11.28     3.97
    109.45   -21.95    21.76    -0.61
    111.02   -22.80     1.79     5.92
    109.09   -21.58    -4.07     5.42
    108.20   -21.08    -4.67    -4.03
    108.68   -20.64    -6.99    -4.91
    106.73   -21.11     4.41     1.83
    109.90   -22.56     1.85     3.73
    110.89   -23.33     5.19     1.86
    110.74   -21.69    -1.92     6.98
    110.31   -21.90     8.83     1.31
    111.29   -22.12     9.81     5.01
    110.83   -23.03     2.49     6.65
    109.65   -22.00     0.01     5.97
    109.18   -20.83    -2.14    -3.28
    109.58   -23.26     6.77     2.73
    109.76   -23.22     6.78     3.20
    110.51   -23.32     4.66    -0.98
    110.33   -20.87    -2.73     1.22
    110.20   -21.27     1.15     1.44
    109.66   -20.89     2.57    -3.23
    110.58   -21.12     3.08    -1.80
    108.58   -21.08    -2.46    -2.98
    108.07   -21.18    -1.23    -3.81
    108.39   -21.86     5.66     5.88
    110.71   -22.13     9.25    -2.39
    110.90   -20.71    -7.29    -3.71
    110.39   -20.40    -9.32    -2.04
    108.17   -20.46   -14.23    -4.40
    108.35   -20.90    -8.57    -1.98
    109.09   -22.44    -1.89     4.55
    106.75   -18.46   -86.20    20.00
    107.51   -18.63  -104.23    16.35
    108.01   -20.47   -14.45    -4.50
    106.52   -19.34   -76.62     4.55
    105.84   -19.55   -82.65    15.85
    108.12   -16.99   -82.45     8.34
    108.36   -17.02   -84.03     8.15
    109.04   -16.96   -84.06     3.26
    109.24   -16.97   -86.41     1.75
    108.89   -17.20   -85.84     3.66
    105.73   -19.94   -61.81    11.10
    104.58   -20.45   -48.00    19.11
    103.60   -22.75     4.48    15.78
    103.53   -23.03     7.44    19.31
    103.85   -23.17     9.78    11.17
    103.82   -22.44     5.00     2.87
    104.60   -23.70     5.46     5.51
    105.78   -23.38    -4.61     5.82
    105.91   -23.47    -5.36     4.16
    107.77   -24.88    23.28     1.34
    109.07   -24.72    21.43     0.86
    107.09   -23.03    -0.02     2.13
    107.71   -23.33    -3.23     3.09
    108.00   -23.44    -5.22    -0.75
    108.24   -23.40     0.50     1.92
    108.28   -23.55    -4.67     2.50
    107.44   -21.88     7.57    -0.39
    110.47   -21.88     9.67    -0.25
    110.23   -22.48     3.03    -0.21
    110.72   -22.23     1.46     0.26
    110.67   -22.55    -1.27     0.16
    108.89   -21.94    -0.58     3.18
    107.46   -22.68    -2.86     0.46
    107.60   -23.02    -0.78     5.78
    106.89   -22.47    11.24     8.04
    108.26   -21.99    -6.37     3.52
    108.72   -23.17     5.08     5.14
    109.27   -21.39    -2.22     3.36
    109.51   -21.52     4.53     2.02
    109.89   -21.45    16.48     1.95
    109.80   -21.60     7.21     2.58
    108.96   -23.19     5.19     5.43
    109.23   -23.61    -3.19     4.36
    105.40   -24.07     0.92     7.50
    107.28   -24.64    18.87     1.86
    107.62   -24.65    16.65    -0.76
    107.06   -24.57    16.97     3.79
    106.53   -24.34    25.10     4.98
    105.10   -23.77     3.31     7.13
    104.78   -23.95     9.20     9.06
    105.62   -24.27    10.43     7.73
    106.07   -24.01     2.04     4.28
    106.99   -24.17    -0.90     2.04
    107.26   -24.13    -4.26     0.15
    110.86   -25.34    50.50    -1.68
    104.38   -22.01     1.78     8.68
    105.15   -21.47    -4.12    13.15
    106.05   -21.45    -1.29     2.05
    107.15   -21.49    10.37     0.44
    106.32   -21.64    17.12     1.93
    111.12   -22.65     2.30     0.70
    111.22   -22.91     8.33     0.90
    112.37   -22.09     3.84     0.53
    112.83   -23.57     3.98     2.46
    113.32   -23.83     6.97    -1.41
    113.60   -23.87    11.49    -0.75
    111.60   -21.45    -2.30     3.01
    111.76   -21.42    -3.05     5.49
    111.98   -21.70    -1.90     1.59
    112.46   -22.18     3.91     2.24
    113.41   -22.34     1.92     3.68
    113.15   -22.37     3.00    -1.65
    114.56   -23.22    13.43   -20.78
    113.58   -22.39    -1.12    -0.92
    114.25   -22.14    -2.74    -6.86
    113.07   -21.71    -3.33     1.63
    112.65   -21.54    -4.92     3.10
    110.33   -18.74   -99.59    -0.28
    112.29   -18.65  -114.07   -15.27
    115.04   -20.12  -123.23   -59.23
    114.04   -20.72  -109.77   -42.61
    116.45   -23.32    20.61   -50.85
    116.43   -22.71     2.58   -48.53
    116.16   -23.22    14.95   -52.19
    116.17   -21.75    -4.89   -37.00
    115.19   -23.26     7.33   -17.80
    115.14   -21.21   -30.24   -27.82
    114.56   -21.33   -32.06   -20.36
    113.29   -20.52   -30.33     0.77
    111.54   -20.57   -30.67    -1.17
    110.32   -19.03  -109.59     0.72
    110.19   -19.39   -90.32    -7.40
    110.92   -18.31  -110.33    -4.11
    114.26   -25.07    70.80   -25.48
    114.68   -24.81    57.41   -27.89
    115.01   -24.30    47.12   -34.34
    115.33   -24.37    54.72   -36.59
    115.62   -24.46    58.41   -44.83
    116.10   -24.01    42.55   -53.95
    116.26   -24.21    49.03   -59.98
    119.25   -23.48    19.14   -29.54
    115.30   -24.74    69.24   -40.41
    116.75   -22.94    10.24   -48.83
    119.04   -23.77    15.87   -23.86
    119.14   -23.08    14.92   -33.70
    119.56   -21.90    -5.09   -14.55
    118.10   -20.14   -11.71   -17.61
    118.40   -20.60    -9.33   -19.09
    118.50   -20.36   -15.53   -34.06
    116.70   -23.89    81.24   -86.36
    120.11   -21.82    -7.04   -15.84
    118.24   -24.54    44.53   -46.93
    119.54   -17.24   -46.51   -20.61
    118.90   -19.58   -56.24   -40.20
    117.68   -19.22   -50.62   -32.72
    117.52   -19.05   -49.40   -30.42
    118.63   -18.58   -74.05   -47.75
    119.22   -19.00   -80.71   -54.99
    121.27   -19.84   -62.19   -39.95
    119.22   -20.93   -20.30   -27.33
    120.05   -20.43   -53.63   -27.83
    118.54   -17.92   -81.59   -45.04
    117.74   -17.53   -80.15   -38.22
    118.38   -16.49   -38.63   -17.44
    117.28   -16.03   -21.59   -19.60
    115.08   -17.06   -72.20   -21.70
    114.75   -18.32   -90.37   -28.17
    114.65   -16.27   -83.13   -23.06
    103.23   -16.06   -63.93    20.69
     98.94   -21.88    -6.18    35.57
    103.32   -21.24   -30.19    31.39
    105.54   -24.02     8.22     7.22
    106.08   -22.42     0.59     4.32
    106.44   -24.86    22.43    15.65
    105.33   -24.67    -4.15    18.69
    101.76   -21.62   -31.75    72.35
    104.25   -18.75  -109.52    41.67
    104.70   -21.18   -18.60    11.27
    103.94   -21.64   -27.60    18.53
    105.09   -21.56    -5.58    11.14
    105.47   -21.47    -3.53     8.27
    107.25   -24.52     4.14     8.20
    107.47   -24.65     9.58     4.19
    108.45   -21.63    -1.17    -0.60
    107.41   -22.01     3.42     2.79
    107.35   -22.38     2.36     6.55
    107.12   -22.27     0.02     5.71
    102.58   -15.48   -81.25    29.34
    104.84   -14.52   -68.67    18.92
     99.31   -16.51   -77.32    39.54
    106.36   -17.17   -77.88    13.20
    110.10   -20.37   -17.11     4.18
    111.13   -20.76   -18.21     0.36
    112.40   -20.68   -23.39     1.00
    111.62   -20.15   -32.43     1.01
    112.75   -21.79    -4.73     8.26
    113.25   -21.68    -2.82     4.33
    113.53   -21.95     3.67     1.39
    111.44   -22.21     0.07     7.56
    111.52   -23.83    -6.87     4.63
    110.65   -21.43     1.62     8.17
    110.65   -22.24    -0.03    11.17
    108.68   -21.74    -6.61     3.56
    109.04   -21.05     4.43    -0.22
    110.60   -18.20  -114.05    -5.91
    114.03   -22.23     3.52    -2.95
    115.89   -14.65   -28.39     1.97
    118.58   -16.59   -26.85   -17.20
    112.24   -17.23   -87.51    -9.97
    118.52   -21.63   -11.87   -48.25
    118.29   -23.65    25.82   -43.07
    118.93   -22.79     9.40   -40.11
    118.87   -24.81    34.62   -19.99
    117.32   -23.37    13.11   -20.85
    113.65   -20.70    -7.49   -13.60
    115.38   -25.44    72.74   -27.95
    115.23   -22.46     1.53   -11.52
    114.58   -23.62    14.24   -12.80
    113.42   -21.60    -7.85    -0.52
    114.74   -22.30    -2.45   -15.72
    113.21   -24.47    36.35   -15.43
    112.14   -21.64    -0.90     3.90
    103.34   -25.62    94.11    32.70
    101.82   -24.46    61.33    61.73
    100.79   -23.47    17.07    68.87
    100.14   -22.07    -1.71    31.56
    101.13   -19.87   -62.57    60.72
    104.02   -18.04  -116.55    38.50
    106.38   -17.23   -77.08    15.43
    109.11   -17.28   -19.45     3.12
    112.46   -17.56   -23.62    -0.41
    113.52   -17.61   -16.47     1.86
    117.95   -21.99    -8.62   -72.84
    117.38   -24.27    43.03   -47.31
    116.12   -20.02   -58.19   -37.11
    115.31   -19.22   -76.09   -20.47
    117.10   -21.58   -17.13   -39.66
    117.14   -22.84    10.81   -49.48
    116.75   -24.23    48.11   -43.35
    115.12   -22.63    -0.17   -15.28
    114.59   -23.50    14.30   -13.14
    115.16   -24.32    51.84   -40.92
    114.15   -23.89    26.57   -12.36
    113.16   -24.62    33.44   -14.95
    112.05   -21.72     1.34     7.77
    113.48   -21.37    10.81    13.20
    113.18   -21.74    -5.81     4.52
    113.56   -22.01    -0.50     1.12
    114.09   -22.20     1.87    -4.58
    113.49   -23.62   -12.93     8.84
    112.50   -23.83   -15.98    -4.09
    112.40   -22.84    -0.84     6.51
    111.94   -22.36     0.30    -0.88
    111.13   -21.29    -0.57     4.72
    112.97   -20.45   -25.16    -2.66
    112.05   -19.66   -64.25    -4.42
    114.41   -19.52   -74.77   -25.49
    113.63   -19.62   -71.69   -19.70
    111.29   -19.24   -75.34    -0.92
    114.35   -16.01  -102.39   -25.06
    116.13   -17.24   -89.95   -35.86
    118.79   -16.47   -21.60   -16.05
    116.69   -17.56   -81.35   -39.12
    118.02   -18.16   -67.05   -40.60
    119.41   -18.69   -56.86   -21.03
    118.00   -19.01   -51.77   -25.09
    118.97   -20.22   -30.08   -47.35
    118.89   -22.29    10.60    -5.44
    118.62   -25.01    37.37   -21.16
    119.28   -27.47    44.04     5.85
    120.11   -27.95    63.59     0.06
    122.12   -26.90    45.55    -8.38
    121.41   -26.48    49.42    -3.77
    121.36   -28.00    47.83    -2.57
    120.56   -28.42    46.48     1.83
    118.67   -28.17    46.47     4.48
    117.79   -29.19    49.67    -0.59
    114.43   -27.90    59.66   -26.23
    110.15   -19.45   -76.55     1.60
    110.60   -21.92   -28.63     4.97
    110.32   -20.92   -10.92     5.74
    109.76   -27.07    93.32     3.95
    104.16   -28.42    68.75    13.72
    103.82   -28.27    68.14    17.95
    105.43   -28.98    57.62    11.98
    106.51   -27.26   101.46     9.93
    106.40   -24.87    29.77    15.48
    103.78   -25.41    99.15    35.82
    107.27   -24.54     3.64     9.09
    107.55   -24.67    12.74     4.21
    107.34   -24.35     2.79     6.66
    107.75   -24.23     1.21     6.43
    106.54   -24.49     8.78     8.64
    105.98   -24.28     8.37     9.75
    105.45   -24.18     6.33    10.73
    106.25   -23.87    -3.35     5.64
    103.33   -21.36   -21.82    31.30
    103.80   -21.71   -27.40    29.53
    103.19   -22.20    -9.03    22.54
    103.22   -23.00     1.94    21.08
    103.62   -23.53     4.22    15.83
    104.06   -23.64     3.08    12.57
    105.00   -23.08     6.13     6.99
    105.50   -22.90     3.54     4.76
    106.37   -22.34    -1.94     5.01
    105.95   -22.33    -0.17     5.36
    108.99   -21.10     7.94    -2.26
    103.50   -24.75    14.08    26.94
    103.06   -23.89    21.19    30.32
    103.59   -24.12    22.80    22.29
    102.76   -15.69   -82.06    30.04
    105.19   -15.09   -90.90    20.96
    104.86   -14.46   -67.41    17.72
    106.10   -14.44   -75.65    17.56
    102.25   -15.98   -84.77    34.97
    103.25   -16.11   -67.62    21.17
    104.68   -16.16   -74.03    22.50
    106.47   -15.55   -95.03    16.59
    105.10   -16.62   -77.46    20.76
    105.36   -16.97   -78.08    19.57
    105.71   -16.62   -78.69    18.34
    106.34   -17.19   -75.92    14.76
    106.73   -16.94   -80.07    11.85
    106.42   -16.92   -79.85    14.03
    103.24   -17.97   -69.70    27.23
    101.85   -18.65   -63.93    28.99
    100.63   -19.68   -64.31    58.77
    101.51   -23.41     7.21    51.48
    101.72   -21.57   -37.23    70.21
     99.36   -16.65   -74.66    37.90
     99.96   -16.44   -75.54    37.61
    101.49   -16.31   -81.81    37.35
    104.81   -19.82   -60.93    19.63
    105.53   -19.58   -61.41    19.29
    103.93   -19.00   -74.09    26.84
    104.61   -18.74   -60.53    22.44
    104.45   -20.70   -51.35    30.44
    104.30   -21.49   -19.35    12.42
    104.94   -21.65    -8.94    14.87
    105.64   -21.64    -4.02     8.04
    105.91   -21.33   -11.63     8.40
    108.60   -21.71    -0.85    -0.89
    108.02   -21.98   -10.18     4.73
    108.43   -23.53    25.72    10.31
    108.95   -23.71    28.02     3.44
    108.90   -24.32     2.16     5.05
    110.61   -24.48    10.21     8.21
    112.79   -21.87     1.50     8.13
    112.35   -21.72     3.61     3.05
    111.13   -21.66     6.54    -0.35
    110.71   -21.66    -0.86     2.83
    110.56   -22.10    -1.81     5.48
    111.27   -22.15    -0.47     2.60
    113.25   -21.76    -5.26     5.66
    113.47   -21.98     0.75     1.51
    114.08   -22.28     3.06    -2.51
    113.10   -24.52    31.60   -13.85
    109.79   -27.06    91.43     4.79
    114.42   -27.90    63.94   -28.25
    112.13   -29.07    58.12    11.08
    110.78   -29.61    41.29    -0.57
    110.40   -28.97    50.60     1.43
    110.13   -28.07   101.07     5.02
    113.38   -22.26     3.37     0.94
    113.79   -22.38     3.34    -2.82
    114.79   -22.36    -2.90   -15.28
    115.06   -22.74     1.56   -15.26
    114.54   -23.61    12.59   -15.74
    114.24   -24.50    40.59   -21.89
    112.25   -25.23    70.74    -7.95
    111.76   -25.60    83.36   -13.24
    114.73   -22.92     5.66   -13.56
    113.53   -23.37    10.64   -13.46
    112.29   -23.22     2.33    -1.19
    111.61   -23.69     7.63    -0.34
    110.56   -24.51    12.85     8.23
    110.09   -20.42   -12.95     1.90
    111.13   -20.76   -15.73    -0.72
    112.26   -20.70   -20.95     1.51
    111.09   -20.34   -25.68     0.03
    110.93   -19.84   -35.29     4.96
    111.60   -19.81   -36.47    -1.73
    111.65   -20.20   -33.38     2.23
    113.10   -20.52   -25.83    -3.70
    113.73   -20.73    -3.73   -13.30
    112.94   -21.19   -22.39     0.51
    113.43   -21.29   -18.91    -4.13
    114.16   -21.58   -16.08   -12.39
    113.41   -21.58   -18.18    -4.86
    114.34   -21.89   -12.17    -9.39
    113.99   -20.90   -16.66   -14.88
    113.76   -20.50   -29.54   -13.50
    109.49   -19.39   -68.91     2.19
    110.70   -18.73   -94.27    -7.54
    110.31   -19.32   -74.82     4.32
    110.94   -19.25   -74.32    -1.99
    106.15   -20.74   -34.16    15.30
    107.31   -20.10   -43.21     2.84
    106.46   -20.77   -28.98     9.05
    106.60   -20.52   -39.38    11.19
    107.90   -19.86   -50.76     3.44
    108.57   -19.66   -58.91     7.58
    107.49   -19.35   -61.06     6.24
    110.35   -18.27  -115.59    -0.80
    111.77   -18.22  -120.62   -11.20
    110.66   -18.34  -116.29    -8.52
    108.88   -18.07  -112.61     1.41
    107.67   -15.41   -80.55     8.94
    112.04   -21.52    -1.34     3.01
    112.00   -22.30     2.87     4.48
    112.12   -24.41    21.09    -4.80
    107.60   -18.84   -94.05    18.32
    108.99   -21.12     7.94    -2.21
    108.34   -21.74     3.93    -3.86
    108.75   -21.91    -0.45    -0.27
    110.24   -20.73   -12.10     2.03
    110.19   -21.29   -22.26     2.08
    110.58   -21.05   -20.90    -3.28
    108.10   -17.97   -90.72     4.93
    108.45   -17.85   -88.76     5.60
    107.55   -15.45   -82.33     9.62
    105.54   -15.43   -88.77    19.98
    104.55   -15.96   -76.10    19.64
    109.76   -15.40   -94.42    -3.33
    110.33   -15.52   -91.70    -5.99
    110.13   -16.81   -70.44    -3.18
    110.43   -16.84   -73.65    -3.50
    110.81   -16.47   -69.89     0.98
    111.93   -17.14   -80.72    -5.56
    108.36   -19.11   -54.35    -0.42
    107.05   -19.66   -62.32     9.20
    108.61   -17.64  -119.92     5.13
     76.20   -18.13   -86.21     0.00
    107.58   -17.45   -92.36    10.74
    109.18   -22.15    -3.65     2.45
    109.80   -22.30    -1.69     3.01
     99.16   -27.32    58.55    20.76
     99.46   -27.73    60.64    27.98
     99.83   -27.41    64.75    24.65
     99.89   -27.77    61.88    29.83
    101.56   -28.21    55.64    16.05
    100.80   -25.72    46.37    39.67
     99.60   -26.53    71.83    31.93
     99.26   -27.53    58.17    24.01
    102.44   -28.48    22.61    12.27
    105.05   -29.20    58.57    15.36
    103.79   -28.21    71.30    18.18
    102.45   -28.07    74.84    22.54
    101.23   -24.82    47.35    42.41
    100.81   -25.33    58.49    32.04
     98.46   -24.04    24.52    32.53
     98.34   -25.76    54.33    41.34
     98.36   -25.51    52.09    40.31
    102.39   -26.17    77.07    28.98
    100.27   -24.84    32.68    28.87
     99.12   -26.14    58.95    36.96
     99.30   -23.56    15.07    27.70
     98.72   -23.05     6.60    28.07
     98.84   -21.44   -12.51    41.14
     98.01   -22.61     5.44    16.43
    100.05   -19.98   -18.04    31.08
    101.46   -19.18   -36.73    31.93
    105.59   -23.20    23.49     0.37
    102.14   -26.19    64.35    32.07
    104.52   -26.87    78.53    10.92
    103.71   -27.50    91.75    19.47
    104.50   -27.50    98.28    13.44
    104.07   -27.49    94.51    18.10
    102.86   -28.20    73.51    24.51
    103.21   -26.34    66.87    21.55
    105.79   -23.96     7.65     7.69
    103.76   -22.93     1.42    26.57
    103.67   -22.70    -1.08    28.52
    103.89   -22.21   -24.02    26.82
    105.30   -20.84   -20.19    14.84
    104.25   -20.40   -57.96    32.48
    104.67   -20.40   -54.72    24.93
    104.77   -20.11   -54.42    22.99
    103.43   -23.27    16.35    33.33
    103.69   -23.48    26.90    24.17
    103.92   -23.63    23.71    22.12
    104.52   -23.69    32.60    14.18
    105.92   -11.84    32.33    -0.74
    105.57   -11.95    31.07     2.51
    106.78   -12.07    18.02     4.17
    107.23   -12.45    14.86     3.70
    106.30   -11.42    38.04     7.93
    105.10   -11.52    39.49     0.72
    104.36   -11.32    48.27    11.88
    105.96   -12.04    15.82     4.91
    108.54   -12.99     8.16     9.44
    107.63   -13.53   -47.03     6.48
    106.98   -13.53   -49.82     4.15
    104.17   -12.11    20.03     8.33
    112.28   -13.73     2.44     1.82
    109.21   -18.69  -115.21     2.59
    105.76   -13.52   -67.01     9.02
    113.04   -13.52   -10.48    -7.63
    114.18   -13.83    -9.32    -3.04
    114.63   -13.51     9.37     6.07
    114.93   -14.30    -8.29    -1.55
    115.41   -14.63    -9.45    -0.46
    116.73   -15.28   -19.42    -7.22
    115.84   -13.89    16.91    18.10
    115.45   -13.43    24.03    13.57
    114.49   -12.43    36.12     6.72
    113.27   -13.17    22.00    -5.64
    116.13   -14.98   -20.07     0.10
    118.33   -16.29   -26.52   -18.61
    114.73   -19.29  -108.12   -49.10
    115.37   -19.66   -94.92   -58.37
    116.40   -20.63   -66.42   -66.64
    118.90   -21.41    -9.17   -34.28
    118.89   -22.11    -2.96   -51.27
    113.96   -16.10  -105.56   -23.55
    114.64   -16.19  -101.02   -27.60
    113.05   -11.30    20.73     7.02
    112.56   -10.75    33.82     6.59
    113.76   -12.04    24.02     7.57
    115.68   -14.16    29.32    19.49
    118.13   -15.60   -11.52    -4.63
    115.04   -19.40   -99.23   -54.09
    114.73   -21.29   -22.89   -16.92
    115.97   -22.12     1.43   -13.64
    115.18   -23.78    50.86   -36.40
    115.06   -24.34    74.14   -40.48
    120.39   -15.40    34.62    12.18
    120.37   -16.49    -5.40    -5.93
    120.18   -16.27    -1.89   -12.74
    120.60   -16.62   -15.98    -1.33
    119.31   -15.21    25.94   -11.71
    118.83   -14.75    29.18     1.41
    117.85   -14.27    25.25    18.14
    117.69   -13.17     0.10     8.62
    117.01   -12.85     7.07    13.45
    115.93   -11.64    43.60    15.82
    118.77   -10.01    64.77     4.85
    119.91   -12.43   -10.80    -2.88
    113.48   -11.26    45.92     1.66
    114.02   -10.90    30.61     7.20
    112.59   -10.77    35.51     7.13
    113.00   -10.83    36.06     5.91
    117.74   -13.70     7.45    16.87
    120.58   -22.14    -0.67   -19.66
    119.86   -22.51     1.67   -16.68
    118.48   -21.54   -12.03   -46.64
    120.55   -16.25    -2.64     1.99
    115.16   -11.71    51.31     4.82
    113.40   -13.10    27.62    -1.65
    120.30   -20.88   -21.56   -31.09
    120.33   -20.46   -24.76   -32.44
    119.96   -20.21   -25.55   -30.31
    119.61   -20.19   -20.72   -30.24
    119.37   -20.07   -21.86   -33.47
    120.25   -21.34   -21.95   -32.22
    119.82   -20.78   -23.99   -34.04
    117.04   -10.45    35.71     1.36
    119.81   -13.71    -8.38    -4.20
    117.07   -13.01    -2.44     0.58
    115.84   -12.42   -12.71     7.45
    119.00   -25.22    39.05   -15.88
    115.17   -27.60    86.00   -34.24
    117.91   -25.60    45.48   -21.43
    118.95   -25.25    42.19   -18.01
    115.65   -27.97    86.60   -12.47
    117.50   -28.76    54.34     0.48
    119.49   -28.42    51.83    -4.43
    119.33   -29.01    43.67    -1.46
    118.31   -28.96    43.89     1.74
    118.17   -29.54    41.24     3.24
    117.52   -28.76    54.68    -0.94
    117.33   -28.63    56.23    -4.20
    116.64   -28.93    51.66    -6.54
    117.31   -30.96    -0.94     7.23
    115.85   -30.76   -10.30    14.50
    115.70   -30.36     2.37     1.21
    115.23   -29.18    62.47    -2.44
     98.97   -22.10    -4.84    39.03
     98.82   -21.35   -11.37    33.70
    100.33   -24.92    32.17    34.50
    100.67   -25.41    47.04    35.67
     99.72   -26.51    70.55    40.81
    100.79   -27.95   101.07    35.41
    100.77   -26.81    88.35    54.96
    102.62   -28.27    80.85    22.43
    106.47   -27.72    96.66    16.47
    103.57   -28.34    82.21    26.73
    101.22   -24.85    54.82    56.21
    101.73   -21.49   -33.10    75.57
    101.80   -21.89   -25.37    76.61
    101.71   -23.72    22.89    71.74
    103.30   -21.85   -15.22    32.14
    102.94   -22.30    -9.09    33.84
    103.70   -23.44    17.05    29.02
    103.18   -22.29    -8.10    26.91
    103.29   -21.45   -29.56    40.83
    103.76   -21.94   -23.99    31.79
    104.56   -23.77    27.49    21.31
    103.52   -19.47   -93.87    52.43
    103.66   -18.89  -106.12    49.50
    104.13   -19.11  -103.36    48.24
    104.94   -18.95  -107.12    35.63
     98.52   -25.52    50.19    27.64
    102.39   -15.62   -79.33    36.11
    102.04   -15.98   -78.29    38.83
    101.46   -15.28   -54.14    24.51
    100.57   -19.80   -52.26    55.99
    101.32   -19.59   -33.57    43.07
    103.89   -19.88   -80.03    45.40
     94.04   -25.35    80.89    30.42
     94.00   -25.74    89.49    29.20
     96.89   -25.03    41.83     7.02
     98.47   -24.17    25.96    30.82
     97.17   -24.63    37.30    11.93
     96.28   -23.83     3.19    19.78
     95.93   -24.23    22.34    21.69
     95.40   -22.64    13.31    17.39
     98.74   -23.20     3.16    34.77
     98.23   -22.58     4.04    28.32
     97.81   -23.09     9.73    20.48
     94.44   -21.08   -34.68    16.49
     95.16   -21.31   -31.91    21.47
     99.57   -17.85   -67.89    47.36
     97.78   -19.56   -27.44    27.48
     95.92   -17.70   -59.10    28.40
     95.98   -18.43   -70.57    35.20
     95.40   -16.72   -22.91    16.56
     98.40   -16.82   -71.13    41.95
     99.21   -16.81   -71.72    44.01
     99.53   -16.76   -75.81    44.36
     96.50   -17.63   -61.09    30.43
     95.10   -25.82    71.78    24.93
     97.32   -26.02    50.62    18.18
     97.11   -25.52    48.11    20.54
    102.33   -28.59    14.60    19.68
     99.98   -30.70   -10.58    34.26
    100.87   -31.30   -11.37    23.88
    101.91   -30.82   -24.71    25.65
    103.73   -30.13    -5.96     5.84
     98.71   -28.36    20.75     9.36
     97.84   -28.16    18.57    14.51
     98.57   -28.03    15.85     9.58
     97.97   -27.90    13.83    16.36
     99.16   -28.82    28.47     2.30
     97.81   -28.53    21.99    13.15
     99.56   -23.69    21.67    31.63
     99.18   -24.15    20.03    37.54
     98.74   -24.41    23.52    39.51
    100.00   -25.61    40.63    34.72
    101.60   -21.11   -42.20    73.19
     97.82   -17.32   -65.70    42.11
     95.69   -19.00   -66.36    35.61
     96.65   -18.84   -74.61    39.33
     92.98   -17.54   -25.68    12.10
     92.51   -16.96   -20.65     9.19
     92.46   -17.38   -24.87    11.70
    102.44   -27.13    77.92    35.24
    102.65   -26.40    73.96    34.67
    103.48   -26.56    65.90    28.12
    103.50   -27.46    79.62    13.32
    103.94   -29.03    -9.44     1.00
     93.86   -24.60    52.97    21.00
     95.57   -24.66    42.29    26.95
     96.51   -28.16    26.24     9.77
     96.26   -28.43    34.63    14.44
     93.75   -26.27   100.93    22.81
     95.03   -25.14    59.61    23.23
     95.00   -23.85    22.29    18.50
     94.39   -23.80    33.10    15.42
     94.56   -22.87    26.13     8.34
     95.80   -20.46   -39.72    29.41
     93.70   -24.08    25.89    19.81
     96.11   -13.91    29.28    16.19
     96.92   -14.27    28.65    12.44
     97.82   -13.93    17.16     3.03
     99.11   -14.34    24.32    10.07
     98.47   -14.98     8.86    11.38
     98.82   -14.77     0.69    16.56
    100.19   -14.56    11.20     9.45
     96.45   -14.55    20.16    10.80
     95.36   -14.49    22.82    12.81
     94.49   -15.14    23.96     8.07
     95.07   -15.38     3.41    19.38
     97.20   -14.59    11.93    11.74
     97.68   -14.69    14.13    11.02
     93.57   -14.17    38.18     6.35
     93.19   -14.19    43.19     6.23
     93.29   -13.94    40.73     8.70
     92.26   -14.04    45.14    -3.89
     92.08   -13.21    43.36    -9.46
     91.93   -10.78    57.98     5.29
     91.28   -11.12    49.64    12.94
     90.56   -11.15    44.41     9.82
     94.95   -11.62    41.04     4.36
     96.96   -11.39     7.50     3.19
     93.22   -10.52    74.06     3.90
     94.20   -10.40    79.79     4.25
     95.34   -10.51    59.54     6.02
     95.81   -10.12    35.36     4.11
     94.62    -9.63    45.98     6.34
     95.85   -11.94    39.86     8.39
    106.78   -12.09    17.08     6.31
    104.63   -11.45    46.31    13.55
    105.61   -11.27    47.17     6.05
    106.93    -9.56    72.33    12.67
    105.80   -11.54    29.98    13.06
    107.23   -12.26    20.73     7.49
    106.93   -11.65    29.31    12.59
    108.30   -12.97    -0.59     8.12
    109.20   -13.49     2.89    10.57
    104.44   -12.18    28.22     9.36
    103.05   -12.15    44.51     8.36
    105.62   -12.02    33.12     7.74
    104.86   -15.10   -81.52    24.39
    104.89   -14.52   -65.74    22.32
    104.23   -14.39   -63.90    23.08
    106.02   -14.47   -70.60    20.41
    103.77   -14.47   -63.24    21.75
